residue,next_residue,weight_tau_capped_R,tau_exact,next_index
1809,1357,2,2,678
1811,2717,1,1,1358
1813,85,6,6,42
1815,2723,1,1,1361
1817,1363,2,2,681
1819,2729,1,1,1364
1821,683,3,3,341
1823,2735,1,1,1367
1825,1369,2,2,684
1827,2741,1,1,1370
1829,343,4,4,171
1831,2747,1,1,1373
1833,1375,2,2,687
1835,2753,1,1,1376
1837,689,3,3,344
1839,2759,1,1,1379
1841,1381,2,2,690
1843,2765,1,1,1382
1845,173,5,5,86
1847,2771,1,1,1385
1849,1387,2,2,693
1851,2777,1,1,1388
1853,695,3,3,347
1855,2783,1,1,1391
1857,1393,2,2,696
1859,2789,1,1,1394
1861,349,4,4,174
1863,2795,1,1,1397
1865,1399,2,2,699
1867,2801,1,1,1400
1869,701,3,3,350
1871,2807,1,1,1403
1873,1405,2,2,702
1875,2813,1,1,1406
1877,11,9,9,5
1879,2819,1,1,1409
1881,1411,2,2,705
1883,2825,1,1,1412
1885,707,3,3,353
1887,2831,1,1,1415
1889,1417,2,2,708
1891,2837,1,1,1418
1893,355,4,4,177
1895,2843,1,1,1421
1897,1423,2,2,711
1899,2849,1,1,1424
1901,713,3,3,356
1903,2855,1,1,1427
1905,1429,2,2,714
1907,2861,1,1,1430
1909,179,5,5,89
1911,2867,1,1,1433
1913,1435,2,2,717
1915,2873,1,1,1436
1917,719,3,3,359
1919,2879,1,1,1439
1921,1441,2,2,720
1923,2885,1,1,1442
1925,361,4,4,180
1927,2891,1,1,1445
1929,1447,2,2,723
1931,2897,1,1,1448
1933,725,3,3,362
1935,2903,1,1,1451
1937,1453,2,2,726
1939,2909,1,1,1454
1941,91,6,6,45
1943,2915,1,1,1457
1945,1459,2,2,729
1947,2921,1,1,1460
1949,731,3,3,365
1951,2927,1,1,1463
1953,1465,2,2,732
1955,2933,1,1,1466
1957,367,4,4,183
1959,2939,1,1,1469
1961,1471,2,2,735
1963,2945,1,1,1472
1965,737,3,3,368
1967,2951,1,1,1475
1969,1477,2,2,738
1971,2957,1,1,1478
1973,185,5,5,92
1975,2963,1,1,1481
1977,1483,2,2,741
1979,2969,1,1,1484
1981,743,3,3,371
1983,2975,1,1,1487
1985,1489,2,2,744
1987,2981,1,1,1490
1989,373,4,4,186
1991,2987,1,1,1493
1993,1495,2,2,747
1995,2993,1,1,1496
1997,749,3,3,374
1999,2999,1,1,1499
2001,1501,2,2,750
2003,3005,1,1,1502
2005,47,7,7,23
2007,3011,1,1,1505
2009,1507,2,2,753
2011,3017,1,1,1508
2013,755,3,3,377
2015,3023,1,1,1511
2017,1513,2,2,756
2019,3029,1,1,1514
2021,379,4,4,189
2023,3035,1,1,1517
2025,1519,2,2,759
2027,3041,1,1,1520
2029,761,3,3,380
2031,3047,1,1,1523
2033,1525,2,2,762
2035,3053,1,1,1526
2037,191,5,5,95
2039,3059,1,1,1529
2041,1531,2,2,765
2043,3065,1,1,1532
2045,767,3,3,383
2047,3071,1,1,1535
2049,1537,2,2,768
2051,3077,1,1,1538
2053,385,4,4,192
2055,3083,1,1,1541
2057,1543,2,2,771
2059,3089,1,1,1544
2061,773,3,3,386
2063,3095,1,1,1547
2065,1549,2,2,774
2067,3101,1,1,1550
2069,97,6,6,48
2071,3107,1,1,1553
2073,1555,2,2,777
2075,3113,1,1,1556
2077,779,3,3,389
2079,3119,1,1,1559
2081,1561,2,2,780
2083,3125,1,1,1562
2085,391,4,4,195
2087,3131,1,1,1565
2089,1567,2,2,783
2091,3137,1,1,1568
2093,785,3,3,392
2095,3143,1,1,1571
2097,1573,2,2,786
2099,3149,1,1,1574
2101,197,5,5,98
2103,3155,1,1,1577
2105,1579,2,2,789
2107,3161,1,1,1580
2109,791,3,3,395
2111,3167,1,1,1583
2113,1585,2,2,792
2115,3173,1,1,1586
2117,397,4,4,198
2119,3179,1,1,1589
2121,1591,2,2,795
2123,3185,1,1,1592
2125,797,3,3,398
2127,3191,1,1,1595
2129,1597,2,2,798
2131,3197,1,1,1598
2133,25,8,8,12
2135,3203,1,1,1601
2137,1603,2,2,801
2139,3209,1,1,1604
2141,803,3,3,401
2143,3215,1,1,1607
2145,1609,2,2,804
2147,3221,1,1,1610
2149,403,4,4,201
2151,3227,1,1,1613
2153,1615,2,2,807
2155,3233,1,1,1616
2157,809,3,3,404
2159,3239,1,1,1619
2161,1621,2,2,810
2163,3245,1,1,1622
2165,203,5,5,101
2167,3251,1,1,1625
2169,1627,2,2,813
2171,3257,1,1,1628
2173,815,3,3,407
2175,3263,1,1,1631
2177,1633,2,2,816
2179,3269,1,1,1634
2181,409,4,4,204
2183,3275,1,1,1637
2185,1639,2,2,819
2187,3281,1,1,1640
2189,821,3,3,410
2191,3287,1,1,1643
2193,1645,2,2,822
2195,3293,1,1,1646
2197,103,6,6,51
2199,3299,1,1,1649
2201,1651,2,2,825
2203,3305,1,1,1652
2205,827,3,3,413
2207,3311,1,1,1655
2209,1657,2,2,828
2211,3317,1,1,1658
2213,415,4,4,207
2215,3323,1,1,1661
2217,1663,2,2,831
2219,3329,1,1,1664
2221,833,3,3,416
2223,3335,1,1,1667
2225,1669,2,2,834
2227,3341,1,1,1670
2229,209,5,5,104
2231,3347,1,1,1673
2233,1675,2,2,837
2235,3353,1,1,1676
2237,839,3,3,419
2239,3359,1,1,1679
2241,1681,2,2,840
2243,3365,1,1,1682
2245,421,4,4,210
2247,3371,1,1,1685
2249,1687,2,2,843
2251,3377,1,1,1688
2253,845,3,3,422
2255,3383,1,1,1691
2257,1693,2,2,846
2259,3389,1,1,1694
2261,53,7,7,26
2263,3395,1,1,1697
2265,1699,2,2,849
2267,3401,1,1,1700
2269,851,3,3,425
2271,3407,1,1,1703
2273,1705,2,2,852
2275,3413,1,1,1706
2277,427,4,4,213
2279,3419,1,1,1709
2281,1711,2,2,855
2283,3425,1,1,1712
2285,857,3,3,428
2287,3431,1,1,1715
2289,1717,2,2,858
2291,3437,1,1,1718
2293,215,5,5,107
2295,3443,1,1,1721
2297,1723,2,2,861
2299,3449,1,1,1724
2301,863,3,3,431
2303,3455,1,1,1727
2305,1729,2,2,864
2307,3461,1,1,1730
2309,433,4,4,216
2311,3467,1,1,1733
2313,1735,2,2,867
2315,3473,1,1,1736
2317,869,3,3,434
2319,3479,1,1,1739
2321,1741,2,2,870
2323,3485,1,1,1742
2325,109,6,6,54
2327,3491,1,1,1745
2329,1747,2,2,873
2331,3497,1,1,1748
2333,875,3,3,437
2335,3503,1,1,1751
2337,1753,2,2,876
2339,3509,1,1,1754
2341,439,4,4,219
2343,3515,1,1,1757
2345,1759,2,2,879
2347,3521,1,1,1760
2349,881,3,3,440
2351,3527,1,1,1763
2353,1765,2,2,882
2355,3533,1,1,1766
2357,221,5,5,110
2359,3539,1,1,1769
2361,1771,2,2,885
2363,3545,1,1,1772
2365,887,3,3,443
2367,3551,1,1,1775
2369,1777,2,2,888
2371,3557,1,1,1778
2373,445,4,4,222
2375,3563,1,1,1781
2377,1783,2,2,891
2379,3569,1,1,1784
2381,893,3,3,446
2383,3575,1,1,1787
2385,1789,2,2,894
2387,3581,1,1,1790
2389,7,10,10,3
2391,3587,1,1,1793
2393,1795,2,2,897
2395,3593,1,1,1796
2397,899,3,3,449
2399,3599,1,1,1799
2401,1801,2,2,900
2403,3605,1,1,1802
2405,451,4,4,225
2407,3611,1,1,1805
2409,1807,2,2,903
2411,3617,1,1,1808
2413,905,3,3,452
2415,3623,1,1,1811
2417,1813,2,2,906
2419,3629,1,1,1814
2421,227,5,5,113
2423,3635,1,1,1817
2425,1819,2,2,909
2427,3641,1,1,1820
2429,911,3,3,455
2431,3647,1,1,1823
2433,1825,2,2,912
2435,3653,1,1,1826
2437,457,4,4,228
2439,3659,1,1,1829
2441,1831,2,2,915
2443,3665,1,1,1832
2445,917,3,3,458
2447,3671,1,1,1835
